#timestamp total_workers_connected workers_init workers_idle workers_busy total_workers_joined total_workers_removed tasks_waiting tasks_running tasks_complete total_tasks_dispatched total_tasks_complete total_tasks_cancelled start_time total_send_time total_receive_time total_bytes_sent total_bytes_received efficiency idle_percentage capacity bandwidth total_cores total_memory total_disk total_gpus min_cores max_cores min_memory max_memory min_disk max_disk min_gpus max_gpus total_execute_time total_good_execute_time 
1461796264695950 0 0 0 0 0 0 0 0 0 0 0 0 1461796264685541 0 0 0 0 0.000000 0.000000 10 1.000000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1461796266312628 1 1 0 0 0 0 1337 0 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.971515 10 1.000000 18446744073709551615 18446744073709551615 18446744073709551615 18446744073709551615 18446744073709551615 0 18446744073709551615 0 18446744073709551615 0 18446744073709551615 0 0 0 
1461796266314686 1 0 1 0 1 0 1337 0 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.970448 10 1.000000 18446744073709551615 18446744073709551615 18446744073709551615 18446744073709551615 18446744073709551615 0 18446744073709551615 0 18446744073709551615 0 18446744073709551615 0 0 0 
1461796266345076 1 0 1 0 1 0 1337 0 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.952690 10 1.000000 1 9828 114974 0 0 1 0 9828 0 114974 0 0 0 0 
1461796266345835 1 0 0 1 1 0 1336 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.952254 10 1.000000 1 9828 114974 0 0 1 0 9828 0 114974 0 0 0 0 
1461796266346209 1 0 1 0 1 0 1336 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.952039 10 1.000000 1 9828 114974 0 0 1 0 9828 0 114974 0 0 0 0 
1461796266347209 1 0 0 1 1 0 1335 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.951468 10 1.000000 1 9828 114974 0 0 1 0 9828 0 114974 0 0 0 0 
1461796266347574 1 0 1 0 1 0 1335 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.951260 10 1.000000 1 9828 114974 0 0 1 0 9828 0 114974 0 0 0 0 
1461796266348515 1 0 0 1 1 0 1334 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.950723 10 1.000000 1 9828 114974 0 0 1 0 9828 0 114974 0 0 0 0 
1461796266348872 1 0 1 0 1 0 1334 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.950518 10 1.000000 1 9828 114974 0 0 1 0 9828 0 114974 0 0 0 0 
1461796266349797 1 0 0 1 1 0 1333 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.949991 10 1.000000 1 9828 114974 0 0 1 0 9828 0 114974 0 0 0 0 
1461796266350151 1 0 1 0 1 0 1333 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.949790 10 1.000000 1 9828 114974 0 0 1 0 9828 0 114974 0 0 0 0 
1461796266351080 1 0 0 1 1 0 1332 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.949262 10 1.000000 1 9828 114974 0 0 1 0 9828 0 114974 0 0 0 0 
1461796266351440 1 0 1 0 1 0 1332 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.949056 10 1.000000 1 9828 114974 0 0 1 0 9828 0 114974 0 0 0 0 
1461796270787129 2 1 1 0 1 0 1332 0 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.985974 10 1.000000 0 9827 114973 18446744073709551615 18446744073709551615 1 18446744073709551615 9828 18446744073709551615 114974 18446744073709551615 0 0 0 
